step;CLsAvg;CLsStd;CLsMin;CLsMax;CLsByMagAvg;CLsByMagStd;CLsByMagMin;CLsByMagMax;FLsAvg;FLsStd;FLsMin;FLsMax;PayAvg;PayStd;PayMin;PayMax;PeopleWorkExtraAvg;PeopleWorkExtraStd;PeopleWorkExtraMin;PeopleWorkExtraMax;PeopleWithBonusAvg;PeopleWithBonusStd;PeopleWithBonusMin;PeopleWithBonusMax;ExpectedCLsAvg;ExpectedCLsStd;ExpectedCLsMin;ExpectedCLsMax;ExpectedFLsAvg;ExpectedFLsStd;ExpectedFLsMin;ExpectedFLsMax;
48;19192.8672;105.8912;18958.0000;19394.0000;1507.3118;25.0486;1468.2571;1551.9750;9303.9004;81.1713;9179.0000;9489.0000;6.1035;0.5437;4.9137;7.1796;109.9000;4.1800;100.0000;119.0000;0.0000;0.0000;0.0000;0.0000;18743.3672;98.7842;18566.0000;18977.0000;9753.4004;89.3002;9509.0000;9921.0000;
49;19584.0332;109.8596;19360.0000;19811.0000;1538.3390;24.9281;1501.0104;1584.2173;9495.0996;82.5759;9370.0000;9695.0000;6.2055;0.7044;5.0028;8.0889;109.6667;5.4730;100.0000;122.0000;0.0000;0.0000;0.0000;0.0000;19122.8340;100.1747;18939.0000;19325.0000;9956.2998;90.8907;9727.0000;10120.0000;
50;19979.8672;112.1205;19763.0000;20234.0000;1569.5225;25.2470;1531.2737;1620.3071;9684.9004;85.7693;9535.0000;9892.0000;6.2367;0.7714;4.9695;8.1051;112.5333;4.9670;100.0000;122.0000;0.0000;0.0000;0.0000;0.0000;19509.7324;102.4735;19322.0000;19709.0000;10155.0332;89.1869;9932.0000;10301.0000;
51;20371.5996;110.9851;20174.0000;20634.0000;1599.6061;25.0031;1559.4797;1650.2751;9875.8330;82.9869;9725.0000;10070.0000;6.0168;0.6206;4.8955;7.2390;111.5333;4.3923;103.0000;121.0000;0.0000;0.0000;0.0000;0.0000;19891.5000;106.4638;19678.0000;20110.0000;10355.9336;89.6729;10133.0000;10492.0000;
52;20765.8672;109.1240;20555.0000;21035.0000;1630.1689;25.1564;1586.6133;1686.1084;10063.7002;79.0836;9900.0000;10250.0000;6.1126;0.5744;5.2155;7.2575;112.2667;3.6382;106.0000;119.0000;0.0000;0.0000;0.0000;0.0000;20274.4336;107.8181;20047.0000;20477.0000;10555.1338;90.4978;10326.0000;10694.0000;
53;21159.7676;108.3327;20963.0000;21429.0000;1661.4900;25.3022;1623.9576;1715.6926;10256.3662;77.8316;10106.0000;10436.0000;6.2643;0.7278;4.9929;8.1850;111.6000;4.2149;102.0000;119.0000;0.0000;0.0000;0.0000;0.0000;20660.1660;108.2739;20412.0000;20864.0000;10755.9668;91.0436;10521.0000;10910.0000;
54;21552.5996;108.6591;21350.0000;21798.0000;1692.3567;26.3532;1646.9003;1747.2211;10447.9004;77.9515;10292.0000;10610.0000;6.1733;0.6339;4.5886;7.1903;112.3667;4.1563;105.0000;121.0000;0.0000;0.0000;0.0000;0.0000;21043.9668;108.7406;20789.0000;21260.0000;10956.5332;93.9023;10711.0000;11113.0000;
55;21949.5000;111.0349;21766.0000;22212.0000;1723.6023;26.2297;1679.8829;1778.0477;10636.9004;81.0770;10479.0000;10800.0000;6.2491;0.6627;4.2860;7.2947;111.5667;4.8330;102.0000;119.0000;0.0000;0.0000;0.0000;0.0000;21428.8672;113.5219;21187.0000;21659.0000;11157.5332;96.6272;10914.0000;11329.0000;
56;22341.7676;107.7790;22163.0000;22600.0000;1754.9530;25.6115;1712.9446;1809.4919;10829.7002;82.3396;10682.0000;10991.0000;6.2702;0.6435;4.9146;7.3972;111.2333;5.3284;100.0000;123.0000;0.0000;0.0000;0.0000;0.0000;21812.0664;115.3612;21567.0000;22061.0000;11359.4004;97.3049;11112.0000;11514.0000;
57;22739.3340;109.2000;22542.0000;22993.0000;1785.5549;25.9913;1741.9053;1834.4142;11016.7002;84.1985;10861.0000;11179.0000;6.1204;0.5500;4.9845;7.1895;112.9667;3.8995;105.0000;120.0000;0.0000;0.0000;0.0000;0.0000;22196.5332;121.7617;21941.0000;22455.0000;11559.5000;99.5309;11311.0000;11720.0000;
