LeadID;Amount;BusinessModel;WeekCreated;WeekClosed;WeekLost;WeekWon;WeekUnlikely-0;WeekPipeline-20;WeekBestCase-40;WeekCommit-80;CertaintyForConv;ConvertedLead
232031196;0.0036594982078853046;Products;50;58;-1;58;-1;50;50;-1;0.4;1
232031204;0.2007168458781362;Products;50;70;70;-1;70;50;50;-1;0.0;0
232031206;0.8924731182795699;Systems & Services;50;50;50;-1;50;50;50;-1;0.4;0
232031207;0.06810035842293907;Products;50;50;50;-1;50;50;-1;-1;0.2;0
232031210;0.002867383512544803;Products;50;50;-1;50;50;-1;50;-1;0.4;1
232031213;0.05811111111111111;Products;50;66;-1;66;-1;50;55;50;0.4;1
232031215;0.1039426523297491;Products;50;65;65;-1;65;65;-1;-1;0.2;0
232031216;0.03225806451612903;Products;50;51;51;-1;51;-1;51;-1;0.4;0
232031218;0.021505376344086023;Products;50;52;-1;52;52;-1;-1;-1;0.0;1
232031222;0.007379426523297492;Products;50;51;-1;51;-1;50;50;-1;0.4;1
232031224;0.018113548387096775;Products;50;69;69;-1;69;50;50;-1;0.0;0
232031228;0.005865985663082438;Products;50;59;-1;59;-1;-1;59;-1;0.4;1
232031229;0.012190609318996418;Products;50;50;-1;50;-1;-1;50;-1;0.4;1
232031230;0.026344014336917562;Products;50;52;-1;52;-1;-1;52;-1;0.4;1
232031231;0.13978494623655913;Systems & Services;50;71;-1;71;-1;50;50;65;0.8;1
232031232;0.025925340501792116;Products;50;60;-1;60;-1;-1;60;60;0.8;1
232031233;0.0015516129032258068;Products;50;72;72;-1;72;-1;72;-1;0.4;0
232031235;0.014336917562724014;Products;50;66;66;-1;50;50;-1;-1;0.2;0
232031236;0.07812544802867384;Products;50;50;-1;50;-1;50;50;50;0.8;1
232031239;0.004376057347670251;Products;50;57;-1;57;-1;50;50;-1;0.4;1
232031240;0.0931899641577061;Products;50;65;65;-1;50;-1;50;-1;0.4;0
232031242;0.02795698924731183;Products;50;58;-1;58;-1;55;55;-1;0.4;1
232031243;0.005376344086021506;Products;50;58;-1;58;-1;50;50;-1;0.4;1
232031251;0.04136559139784946;Systems & Services;51;56;-1;56;-1;51;51;55;0.8;1
232031254;0.009771397849462364;Products;51;57;-1;57;-1;51;51;-1;0.4;1
232031255;0.001024910394265233;Products;51;51;-1;51;-1;-1;51;-1;0.4;1
232031256;0.004758924731182795;Products;51;52;-1;52;-1;-1;52;-1;0.4;1
232031258;0.0014094623655913979;Products;51;51;-1;51;-1;-1;51;-1;0.4;1
232031260;0.08602150537634409;Products;51;60;-1;60;-1;60;-1;60;0.8;1
232031261;0.04412903225806451;Products;51;57;-1;57;51;-1;51;57;0.8;1
232031263;0.1039426523297491;Products;51;69;69;-1;69;51;51;-1;0.0;0
232031268;0.022980286738351254;Products;51;51;51;-1;51;51;51;-1;0.4;0
232031270;0.0784516129032258;Products;51;58;-1;58;-1;51;51;54;0.8;1
232031272;0.11871326164874552;Systems & Services;51;55;-1;55;-1;51;52;51;0.4;1
232031274;0.03225806451612903;Systems & Services;51;71;71;-1;71;71;-1;-1;0.2;0
232031275;0.08602150537634409;Systems & Services;51;58;58;-1;58;58;-1;-1;0.2;0
232031276;0.15436559139784947;Systems & Services;51;65;-1;65;-1;51;52;51;0.4;1
232031277;0.0042023655913978495;Products;51;55;-1;55;-1;51;51;-1;0.4;1
232031278;0.0007945878136200718;Products;51;51;-1;51;-1;51;51;-1;0.4;1
232031279;0.0;Systems & Services;51;60;-1;60;-1;51;52;51;0.4;1
232031280;0.0832258064516129;Systems & Services;51;65;-1;65;-1;51;52;51;0.4;1
232031283;0.020100358422939068;Products;51;52;-1;52;-1;-1;52;-1;0.4;1
232031287;0.2831541218637993;Systems & Services;51;71;-1;71;-1;71;-1;-1;0.2;1
232031290;0.0;Products;51;51;51;-1;51;-1;51;-1;0.4;0
232031291;0.021505376344086023;Products;51;55;-1;55;-1;-1;-1;55;0.8;1
232031297;0.05903942652329749;Products;51;61;-1;61;-1;51;51;-1;0.4;1
232031299;0.0035842293906810036;Products;51;51;51;-1;51;51;-1;-1;0.2;0
232031300;0.06810035842293907;Products;51;60;-1;60;-1;-1;60;-1;0.4;1
232031302;0.06699641577060932;Products;51;53;-1;53;-1;-1;52;52;0.8;1
232031303;0.0007651612903225807;Products;51;56;-1;56;-1;-1;56;-1;0.4;1
232031304;0.03225806451612903;Products;51;59;-1;59;59;-1;-1;-1;0.0;1
232031306;0.0032616487455197135;Products;51;67;-1;67;-1;51;51;-1;0.4;1
232031307;0.007896057347670252;Products;51;52;-1;52;-1;51;51;-1;0.4;1
232031311;0.028392939068100354;Products;51;69;-1;69;-1;-1;67;67;0.8;1
232031313;0.0037257706093189965;Products;51;58;-1;58;-1;-1;58;-1;0.4;1
232031315;0.02694089605734767;Products;51;61;61;-1;61;51;51;-1;0.0;0
232031318;0.014336917562724014;Products;51;64;64;-1;64;51;51;-1;0.0;0
232031319;0.03225806451612903;Products;51;62;-1;62;-1;58;-1;58;0.8;1
232031320;0.0;Products;51;51;51;-1;51;-1;51;-1;0.4;0
232031321;0.014336917562724014;Products;51;52;52;-1;52;51;51;-1;0.0;0
232031323;0.018901827956989248;Products;51;55;-1;55;-1;51;51;-1;0.4;1
232031324;0.010752688172043012;Products;51;63;-1;63;-1;51;51;-1;0.4;1
232031327;0.0;Products;51;65;65;-1;65;65;-1;-1;0.2;0
232031329;0.01971326164874552;Products;51;58;58;-1;58;51;51;-1;0.0;0
232031330;0.08602150537634409;Systems & Services;51;70;-1;70;-1;51;51;-1;0.4;1
232031333;0.0;Systems & Services;51;51;51;-1;51;51;-1;-1;0.2;0
