LeadID;Amount;BusinessModel;WeekCreated;WeekClosed;WeekLost;WeekWon;WeekUnlikely-0;WeekPipeline-20;WeekBestCase-40;WeekCommit-80
286019645;1446,82;Products;56;65;65;-1;56;-1;56;-1
297103253;1000;Products;33;65;65;-1;65;65;-1;-1
297103828;16136,37;Products;63;65;-1;65;-1;-1;-1;65
231039831;40000;Products;4;66;66;-1;66;66;-1;-1
231040064;250000;Products;7;66;66;-1;66;66;-1;-1
231040105;10000;Products;8;66;66;-1;66;66;-1;-1
231040392;10000;Products;11;66;66;-1;66;11;11;-1
231040761;200000;Systems & Services;16;66;66;-1;16;16;-1;-1
231041370;30000;Products;22;66;66;-1;66;42;-1;42
231041444;1600000;Systems & Services;23;66;-1;66;-1;39;39;59
231041447;13505,81;Products;23;66;-1;66;23;23;-1;-1
231041489;50000;Products;24;66;66;-1;66;66;-1;-1
231041559;11661,31;Products;24;66;-1;66;-1;66;-1;-1
231041731;25000;Products;26;66;66;-1;26;26;-1;-1
231041938;16000;Products;28;66;66;-1;66;28;28;-1
231042046;20000;Products;30;66;-1;66;-1;30;30;-1
231042131;30000;Products;31;66;66;-1;31;31;-1;31
231042218;2000;Products;32;66;-1;66;32;32;-1;-1
231042246;6602,11;Products;33;66;66;-1;66;66;-1;-1
231042444;58000;Systems & Services;36;66;-1;66;66;36;-1;36
231042718;15000;Products;39;66;-1;66;39;39;-1;-1
231042731;50000;Systems & Services;39;66;66;-1;66;66;-1;-1
231042743;15000;Products;39;66;-1;66;39;39;-1;-1
231042803;20000;Systems & Services;39;66;66;-1;66;66;-1;-1
231042810;30000;Products;40;66;66;-1;66;66;-1;-1
231042811;27000;Products;40;66;-1;66;-1;53;-1;53
231042847;15000;Products;40;66;-1;66;40;40;-1;-1
231042905;50000;Products;40;66;-1;66;-1;66;-1;-1
231042953;15000;Products;40;66;-1;66;40;40;-1;-1
231043038;40000;Products;40;66;66;-1;40;40;-1;-1
231043063;15000;Systems & Services;41;66;-1;66;41;41;-1;-1
231043087;19500;Products;41;66;-1;66;-1;56;-1;56
231043089;4000;Products;41;66;-1;66;-1;42;-1;42
231043099;15000;Products;41;66;-1;66;41;41;-1;-1
231043109;26291;Products;41;66;-1;66;-1;41;41;-1
231043117;10000;Products;-1;66;66;-1;66;66;-1;-1
231043167;20000;Products;42;66;-1;66;-1;42;42;-1
231043197;1000000;Products;42;66;66;-1;66;42;42;-1
231043266;40000;Products;43;66;66;-1;66;66;-1;-1
231043301;133000;Products;43;66;-1;66;43;43;-1;-1
231043324;15000;Products;43;66;-1;66;43;43;-1;-1
231043484;19000;Products;44;66;-1;66;-1;44;44;-1
231043599;50000;Products;45;66;-1;66;-1;45;-1;45
231043622;350000;Systems & Services;45;66;-1;66;-1;59;59;61
231043987;10000;Products;49;66;66;-1;66;66;-1;-1
231044114;15000;Products;50;66;-1;66;50;50;-1;-1
231044215;5000;Systems & Services;50;66;-1;66;-1;66;-1;-1
231044338;15000;Products;51;66;-1;66;51;51;-1;-1
231044351;5000;Products;51;66;-1;66;-1;51;51;-1
231044359;15000;Products;51;66;-1;66;51;51;-1;-1
231044415;15000;Products;52;66;66;-1;66;52;-1;52
231044441;15000;Products;52;66;-1;66;52;52;-1;-1
231044532;10000;Products;52;66;66;-1;66;63;63;-1
231044552;15000;Products;52;66;-1;66;52;52;-1;-1
231044639;10000;Products;53;66;-1;66;-1;53;53;-1
231044838;15000;Products;56;66;-1;66;56;56;-1;-1
231044867;15000;Products;56;66;-1;66;56;56;-1;-1
231045053;39000;Systems & Services;58;66;-1;66;-1;58;58;-1
231045165;5541;Products;59;66;-1;66;59;66;59;-1
231045220;9500;Products;60;66;-1;66;-1;60;60;-1
231045310;30000;Products;60;66;66;-1;60;60;-1;-1
231045360;10000;Products;61;66;-1;66;61;61;-1;-1
231045427;50000;Systems & Services;62;66;-1;66;-1;62;-1;62
231045432;200000;Products;62;66;66;-1;62;62;-1;-1
231045446;5000;Products;62;66;-1;66;-1;-1;66;-1
231045513;11802,17;Products;63;66;-1;66;63;63;-1;-1
231045787;1200;Products;66;66;-1;66;-1;-1;-1;66
231045788;12690;Products;66;66;-1;66;-1;66;66;-1
231045790;3207;Products;66;66;-1;66;-1;66;-1;66
231045794;10000;Products;-1;66;66;-1;66;66;-1;-1
231045800;900000;Products;66;66;66;-1;66;66;-1;-1
232028323;22000;Products;12;66;-1;66;-1;12;12;-1
232028462;3371,55;Products;13;66;66;-1;66;-1;66;-1
232028647;10000,14;Products;16;66;-1;66;-1;16;16;42
232028717;8183;Products;17;66;-1;66;-1;17;18;17
232028844;5000;Systems & Services;19;66;-1;66;-1;19;19;-1
232028935;4000;Products;20;66;66;-1;66;20;20;-1
232029108;1307,58;Products;22;66;-1;66;-1;22;22;44
232029274;12712;Products;24;66;-1;66;24;-1;24;-1
232029307;2500;Products;24;66;66;-1;66;-1;66;-1
232029319;50000;Products;24;66;-1;66;54;24;24;-1
232029642;15000;Products;29;66;-1;66;-1;40;40;40
232029812;100000;Products;33;66;-1;66;-1;-1;66;-1
232029818;200000;Products;33;66;-1;66;-1;33;33;36
232029823;10845;Products;33;66;66;-1;66;33;33;-1
232029922;1252;Products;34;66;66;-1;66;-1;66;-1
232030019;18000;Products;36;66;66;-1;66;36;36;-1
232030155;2200;Products;37;66;-1;66;-1;37;37;-1
232030168;11000;Products;37;66;66;-1;66;37;37;-1
232030238;27344,83;Products;38;66;66;-1;51;38;38;-1
232030430;13475;Products;41;66;-1;66;-1;41;41;-1
232030491;99738,13;Systems & Services;42;66;-1;66;54;46;46;-1
232030878;5689;Systems & Services;46;66;-1;66;-1;46;-1;46
232031128;20000;Products;49;66;66;-1;49;49;-1;-1
232031170;2491,53;Products;50;66;-1;66;50;-1;50;-1
232031213;17213;Products;50;66;-1;66;-1;50;55;50
232031235;5000;Products;50;66;66;-1;50;50;-1;-1
232031399;4948,71;Products;52;66;66;-1;66;52;52;-1
232031460;1400;Products;54;66;66;-1;66;54;54;-1
232031489;7015;Products;55;66;-1;66;-1;55;55;-1
232031520;50000;Products;55;66;-1;66;-1;66;-1;-1
232031611;5000;Products;56;66;66;-1;66;56;56;-1
232031732;17000;Products;57;66;-1;66;-1;-1;57;57
232031755;6727,89;Products;57;66;66;-1;66;-1;66;-1
232031760;1;Products;57;66;-1;66;66;-1;-1;-1
232031809;3089;Products;58;66;66;-1;66;58;58;-1
232031835;1429,49;Products;58;66;66;-1;66;-1;66;-1
232031887;10000;Products;59;66;-1;66;65;65;65;-1
232031960;2638;Products;59;66;66;-1;66;59;59;-1
232031996;49372;Systems & Services;60;66;-1;66;-1;60;61;60
232032112;10500;Products;61;66;-1;66;-1;-1;-1;66
232032277;240;Systems & Services;63;66;-1;66;-1;63;63;63
232032315;10000;Systems & Services;63;66;-1;66;-1;63;65;63
232032340;2010,62;Products;63;66;-1;66;-1;-1;63;63
232032368;1367,23;Products;63;66;-1;66;-1;-1;66;-1
232032377;1543;Products;63;66;-1;66;-1;63;63;-1
232032401;4780;Products;64;66;-1;66;-1;64;64;-1
232032540;15000;Systems & Services;65;66;-1;66;-1;-1;65;65
232032552;1312;Products;65;66;-1;66;-1;-1;65;65
232032553;4281,81;Products;65;66;-1;66;-1;-1;66;-1
232032590;2178,18;Products;66;66;-1;66;-1;-1;66;-1
232032598;1;Products;66;66;66;-1;66;-1;66;-1
232032600;5000;Products;66;66;66;-1;66;-1;66;-1
232032616;1;Products;66;66;66;-1;66;-1;66;-1
232032618;1;Products;66;66;66;-1;66;-1;66;-1
232032621;1;Products;66;66;66;-1;66;-1;66;-1
232032629;1;Products;66;66;66;-1;66;-1;66;-1
232032633;1223,49;Products;66;66;-1;66;-1;-1;66;-1
232032638;1;Products;66;66;66;-1;66;-1;66;-1
232032639;1;Products;66;66;66;-1;66;-1;66;-1
232032645;1;Products;66;66;66;-1;-1;-1;-1;-1
232032662;1;Products;66;66;66;-1;-1;-1;-1;-1
235814970;1441,01;Products;65;66;-1;66;65;-1;65;-1
242003806;2295,14;Products;65;66;-1;66;-1;-1;65;65
244074258;9925,38;Products;51;66;66;-1;51;-1;51;-1
248019089;6546,28;Products;59;66;-1;66;59;-1;59;-1
281000969;3168,43;Products;63;66;-1;66;-1;-1;63;63
281001007;2527,83;Products;66;66;-1;66;-1;-1;66;66
286019271;2083,73;Products;52;66;66;-1;59;-1;59;-1
286020444;2842,67;Products;66;66;-1;66;-1;-1;66;-1
297103908;11946,23;Products;66;66;66;-1;66;-1;66;-1
231039961;15000;Products;6;67;67;-1;67;6;6;-1
231039998;75000;Products;6;67;67;-1;67;30;30;-1
231040036;20000;Products;7;67;67;-1;67;22;22;-1
231040180;5000;Products;9;67;67;-1;67;67;-1;-1
231040356;100000;Products;11;67;-1;67;-1;49;61;49
231040550;35000;Products;14;67;67;-1;67;14;14;27
231040567;80000;Products;14;67;67;-1;14;67;14;-1
231040740;15700;Products;16;67;67;-1;67;67;-1;-1
231040794;0;Products;16;67;67;-1;39;39;-1;-1
231040825;400000;Products;16;67;67;-1;67;67;-1;-1
231041218;60000;Products;21;67;67;-1;67;21;21;-1
231041345;5000;Products;22;67;67;-1;67;67;-1;-1
231041434;80000;Systems & Services;23;67;67;-1;67;34;34;-1
231041439;175000;Products;23;67;-1;67;-1;56;56;56
231041768;36000;Products;26;67;-1;67;-1;-1;26;26
231041825;15000;Systems & Services;27;67;67;-1;67;27;27;-1
231041826;15000;Systems & Services;27;67;67;-1;67;27;27;-1
231041827;15000;Systems & Services;27;67;67;-1;67;27;27;-1
231041837;10000;Products;27;67;67;-1;67;67;-1;-1
231041859;7300;Systems & Services;27;67;67;-1;67;67;-1;-1
231042022;70000;Products;29;67;67;-1;67;29;29;-1
231042126;30000;Products;31;67;67;-1;67;67;-1;-1
231042168;10000;Products;31;67;67;-1;67;67;-1;-1
231042271;8000;Products;33;67;-1;67;-1;67;-1;-1
231042370;27000;Products;35;67;-1;67;-1;67;-1;-1
231042519;5000;Products;37;67;-1;67;37;-1;37;-1
231042522;150000;Products;37;67;67;-1;67;67;-1;-1
231042575;12000;Products;37;67;67;-1;67;37;37;-1
231042587;129000;Products;38;67;67;-1;38;38;-1;-1
231042837;15000;Systems & Services;40;67;-1;67;40;40;-1;-1
231042990;15000;Products;40;67;-1;67;40;40;-1;-1
231043008;25000;Products;40;67;-1;67;40;40;-1;-1
231043032;40000;Products;40;67;67;-1;67;40;40;-1
231043090;50000;Systems & Services;41;67;67;-1;41;41;-1;-1
231043133;25000;Products;41;67;-1;67;-1;67;-1;-1
231043218;6000;Products;42;67;67;-1;67;67;-1;-1
231043349;15000;Products;43;67;-1;67;43;43;-1;-1
231043387;120000;Products;43;67;-1;67;43;43;-1;-1
231043550;33000;Products;45;67;67;-1;67;45;45;-1
231043637;9000;Products;45;67;67;-1;67;45;45;-1
231043726;84000;Products;46;67;-1;67;46;46;-1;-1
231043754;21000;Products;46;67;-1;67;46;46;-1;-1
231043805;15000;Products;46;67;67;-1;67;46;46;-1
231043830;80000;Systems & Services;47;67;-1;67;47;47;61;-1
231043954;35000;Products;48;67;67;-1;67;48;48;-1
231043962;18000;Products;48;67;67;-1;67;48;48;-1
231043990;50000;Products;49;67;-1;67;-1;49;-1;49
231044014;50000;Products;49;67;67;-1;67;49;49;-1
231044038;10000;Products;49;67;67;-1;67;49;49;-1
231044096;50000;Products;49;67;67;-1;67;67;-1;-1
