LeadID;Amount;BusinessModel;WeekCreated;WeekClosed;WeekLost;WeekWon;WeekUnlikely-0;WeekPipeline-20;WeekBestCase-40;WeekCommit-80;CertaintyForConv;ConvertedLead
232028966;7000;Products;20;20;20;-1;20;-1;20;-1;0.4;0
232028968;50000;Systems & Services;20;41;41;-1;41;20;-1;20;0;0
232028969;120000;Systems & Services;20;46;46;-1;46;20;-1;20;0;0
232028970;1;Products;20;25;25;-1;25;20;20;-1;0;0
232028971;8000;Products;20;32;32;-1;32;32;-1;-1;0.2;0
232028972;1;Products;20;20;20;-1;20;20;-1;-1;0.2;0
232028973;3970.77;Products;20;50;50;-1;50;-1;50;-1;0.4;0
232028976;1;Products;20;65;65;-1;20;-1;20;21;0.8;0
232028977;10708.45;Products;20;70;70;-1;70;20;20;-1;0;0
232028980;1;Products;20;20;20;-1;-1;-1;-1;-1;0;0
232028981;10000;Products;20;20;-1;20;-1;20;-1;-1;0.2;1
232028982;15000;Products;20;22;-1;22;-1;20;20;-1;0.4;1
232028983;2971.44;Products;20;21;-1;21;-1;-1;21;-1;0.4;1
232028987;2295;Products;20;40;-1;40;-1;20;20;20;0.8;1
232028988;150000;Products;20;21;-1;21;-1;-1;-1;21;0.8;1
232028989;60000;Systems & Services;20;31;-1;31;-1;20;-1;20;0.8;1
232028992;81653.28;Products;21;23;-1;23;21;-1;21;23;0.8;1
232028993;65000;Systems & Services;21;57;57;-1;57;21;21;-1;0;0
232028994;3564;Products;21;39;39;-1;39;21;21;-1;0;0
232028995;1247.88;Products;21;69;-1;69;-1;21;21;-1;0.4;1
232028996;1;Products;21;21;21;-1;21;21;-1;-1;0.2;0
232028998;1000;Products;21;21;-1;21;-1;-1;21;21;0.8;1
232028999;46000;Products;21;31;-1;31;-1;21;21;31;0.8;1
232029000;25000;Products;21;40;-1;40;-1;21;21;-1;0.4;1
232029001;1572;Products;21;21;-1;21;-1;21;21;-1;0.4;1
232029004;400000;Systems & Services;21;44;44;-1;21;-1;21;-1;0.4;0
232029005;129846;Systems & Services;21;27;-1;27;-1;21;21;-1;0.4;1
232029006;10000;Products;21;44;-1;44;25;25;25;-1;0.4;1
232029007;20000;Products;21;50;50;-1;50;50;-1;-1;0.2;0
232029008;25000;Products;21;50;50;-1;50;21;-1;21;0;0
232029009;3123.91;Products;21;32;32;-1;21;-1;21;-1;0.4;0
